Influenza_Season,Start_Date,End_Date,Reporting_TimeFrame,Week_Ending_Date,Week_Sort_Order,Current_Season_Week_Ending_Label,Cumulative_Flu_Doses_Distributed,Current_Through
2018-2019,07/29/2018 12:00:00 AM,08/04/2018 12:00:00 AM,2018-07-29 - 2018-08-04,08/04/2018 12:00:00 AM,1,08/03/2024 12:00:00 AM,0.52,03/04/2023 12:00:00 AM
2018-2019,08/05/2018 12:00:00 AM,08/11/2018 12:00:00 AM,2018-08-05 - 2018-08-11,08/11/2018 12:00:00 AM,2,08/10/2024 12:00:00 AM,3.23,03/04/2023 12:00:00 AM
2018-2019,08/12/2018 12:00:00 AM,08/18/2018 12:00:00 AM,2018-08-12 - 2018-08-18,08/18/2018 12:00:00 AM,3,08/17/2024 12:00:00 AM,10.18,03/04/2023 12:00:00 AM
2018-2019,08/19/2018 12:00:00 AM,08/25/2018 12:00:00 AM,2018-08-19 - 2018-08-25,08/25/2018 12:00:00 AM,4,08/24/2024 12:00:00 AM,19.99,03/04/2023 12:00:00 AM
2018-2019,08/26/2018 12:00:00 AM,09/01/2018 12:00:00 AM,2018-08-26 - 2018-09-01,09/01/2018 12:00:00 AM,5,08/31/2024 12:00:00 AM,37.38,03/04/2023 12:00:00 AM
2018-2019,09/02/2018 12:00:00 AM,09/08/2018 12:00:00 AM,2018-09-02 - 2018-09-08,09/08/2018 12:00:00 AM,6,09/07/2024 12:00:00 AM,52.23,03/04/2023 12:00:00 AM
2018-2019,09/09/2018 12:00:00 AM,09/15/2018 12:00:00 AM,2018-09-09 - 2018-09-15,09/15/2018 12:00:00 AM,7,09/14/2024 12:00:00 AM,70.39,03/04/2023 12:00:00 AM
2018-2019,09/16/2018 12:00:00 AM,09/22/2018 12:00:00 AM,2018-09-16 - 2018-09-22,09/22/2018 12:00:00 AM,8,09/21/2024 12:00:00 AM,87.79,03/04/2023 12:00:00 AM
2018-2019,09/23/2018 12:00:00 AM,09/29/2018 12:00:00 AM,2018-09-23 - 2018-09-29,09/29/2018 12:00:00 AM,9,09/28/2024 12:00:00 AM,104.38,03/04/2023 12:00:00 AM
2018-2019,09/30/2018 12:00:00 AM,10/06/2018 12:00:00 AM,2018-09-30 - 2018-10-06,10/06/2018 12:00:00 AM,10,10/05/2024 12:00:00 AM,118.8,03/04/2023 12:00:00 AM
2018-2019,10/07/2018 12:00:00 AM,10/13/2018 12:00:00 AM,2018-10-07 - 2018-10-13,10/13/2018 12:00:00 AM,11,10/12/2024 12:00:00 AM,132.57,03/04/2023 12:00:00 AM
2018-2019,10/14/2018 12:00:00 AM,10/20/2018 12:00:00 AM,2018-10-14 - 2018-10-20,10/20/2018 12:00:00 AM,12,10/19/2024 12:00:00 AM,143.84,03/04/2023 12:00:00 AM
2018-2019,10/21/2018 12:00:00 AM,10/27/2018 12:00:00 AM,2018-10-21 - 2018-10-27,10/27/2018 12:00:00 AM,13,10/26/2024 12:00:00 AM,152.02,03/04/2023 12:00:00 AM
2018-2019,10/28/2018 12:00:00 AM,11/03/2018 12:00:00 AM,2018-10-28 - 2018-11-03,11/03/2018 12:00:00 AM,14,11/02/2024 12:00:00 AM,157.64,03/04/2023 12:00:00 AM
2018-2019,11/04/2018 12:00:00 AM,11/10/2018 12:00:00 AM,2018-11-04 - 2018-11-10,11/10/2018 12:00:00 AM,15,11/09/2024 12:00:00 AM,160.55,03/04/2023 12:00:00 AM
2018-2019,11/11/2018 12:00:00 AM,11/17/2018 12:00:00 AM,2018-11-11 - 2018-11-17,11/17/2018 12:00:00 AM,16,11/16/2024 12:00:00 AM,162.96,03/04/2023 12:00:00 AM
2018-2019,11/18/2018 12:00:00 AM,11/24/2018 12:00:00 AM,2018-11-18 - 2018-11-24,11/24/2018 12:00:00 AM,17,11/23/2024 12:00:00 AM,163.95,03/04/2023 12:00:00 AM
2018-2019,11/25/2018 12:00:00 AM,12/01/2018 12:00:00 AM,2018-11-25 - 2018-12-01,12/01/2018 12:00:00 AM,18,11/30/2024 12:00:00 AM,165.5,03/04/2023 12:00:00 AM
2018-2019,12/02/2018 12:00:00 AM,12/08/2018 12:00:00 AM,2018-12-02 - 2018-12-08,12/08/2018 12:00:00 AM,19,12/07/2024 12:00:00 AM,166.54,03/04/2023 12:00:00 AM
2018-2019,12/09/2018 12:00:00 AM,12/15/2018 12:00:00 AM,2018-12-09 - 2018-12-15,12/15/2018 12:00:00 AM,20,12/14/2024 12:00:00 AM,167.79,03/04/2023 12:00:00 AM
2018-2019,12/16/2018 12:00:00 AM,12/22/2018 12:00:00 AM,2018-12-16 - 2018-12-22,12/22/2018 12:00:00 AM,21,12/21/2024 12:00:00 AM,168.26,03/04/2023 12:00:00 AM
2018-2019,12/23/2018 12:00:00 AM,12/29/2018 12:00:00 AM,2018-12-23 - 2018-12-29,12/29/2018 12:00:00 AM,22,12/31/2024 12:00:00 AM,168.4,03/04/2023 12:00:00 AM
2018-2019,12/30/2018 12:00:00 AM,01/05/2019 12:00:00 AM,2018-12-30 - 2019-01-05,01/05/2019 12:00:00 AM,23,01/04/2025 12:00:00 AM,168.85,03/04/2023 12:00:00 AM
2018-2019,01/06/2019 12:00:00 AM,01/12/2019 12:00:00 AM,2019-01-06 - 2019-01-12,01/12/2019 12:00:00 AM,24,01/11/2025 12:00:00 AM,169.3,03/04/2023 12:00:00 AM
2018-2019,01/13/2019 12:00:00 AM,01/19/2019 12:00:00 AM,2019-01-13 - 2019-01-19,01/19/2019 12:00:00 AM,25,01/18/2025 12:00:00 AM,169.66,03/04/2023 12:00:00 AM
2018-2019,01/20/2019 12:00:00 AM,01/26/2019 12:00:00 AM,2019-01-20 - 2019-01-26,01/26/2019 12:00:00 AM,26,01/25/2025 12:00:00 AM,169.89,03/04/2023 12:00:00 AM
2018-2019,01/27/2019 12:00:00 AM,02/02/2019 12:00:00 AM,2019-01-27 - 2019-02-02,02/02/2019 12:00:00 AM,27,02/01/2025 12:00:00 AM,170.09,03/04/2023 12:00:00 AM
2018-2019,02/03/2019 12:00:00 AM,02/09/2019 12:00:00 AM,2019-02-03 - 2019-02-09,02/09/2019 12:00:00 AM,28,02/08/2025 12:00:00 AM,170.3,03/04/2023 12:00:00 AM
2018-2019,02/10/2019 12:00:00 AM,02/16/2019 12:00:00 AM,2019-02-10 - 2019-02-16,02/16/2019 12:00:00 AM,29,02/15/2025 12:00:00 AM,170.48,03/04/2023 12:00:00 AM
2018-2019,02/17/2019 12:00:00 AM,02/23/2019 12:00:00 AM,2019-02-17 - 2019-02-23,02/23/2019 12:00:00 AM,30,02/22/2025 12:00:00 AM,170.62,03/04/2023 12:00:00 AM
2018-2019,02/24/2019 12:00:00 AM,03/02/2019 12:00:00 AM,2019-02-24 - 2019-03-02,03/02/2019 12:00:00 AM,31,03/01/2025 12:00:00 AM,170.73,03/04/2023 12:00:00 AM
2018-2019,03/03/2019 12:00:00 AM,03/09/2019 12:00:00 AM,2019-03-03 - 2019-03-09,03/09/2019 12:00:00 AM,32,03/08/2025 12:00:00 AM,170.73,03/04/2023 12:00:00 AM
2019-2020,07/28/2019 12:00:00 AM,08/03/2019 12:00:00 AM,2019-07-28 - 2019-08-03,08/03/2019 12:00:00 AM,1,08/03/2024 12:00:00 AM,4.12,02/01/2025 12:00:00 AM
2019-2020,08/04/2019 12:00:00 AM,08/10/2019 12:00:00 AM,2019-08-04 - 2019-08-10,08/10/2019 12:00:00 AM,2,08/10/2024 12:00:00 AM,8.74,02/01/2025 12:00:00 AM
2019-2020,08/11/2019 12:00:00 AM,08/17/2019 12:00:00 AM,2019-08-11 - 2019-08-17,08/17/2019 12:00:00 AM,3,08/17/2024 12:00:00 AM,14.98,02/01/2025 12:00:00 AM
2019-2020,08/18/2019 12:00:00 AM,08/24/2019 12:00:00 AM,2019-08-18 - 2019-08-24,08/24/2019 12:00:00 AM,4,08/24/2024 12:00:00 AM,26.9,02/01/2025 12:00:00 AM
2019-2020,08/25/2019 12:00:00 AM,08/31/2019 12:00:00 AM,2019-08-25 - 2019-08-31,08/31/2019 12:00:00 AM,5,08/31/2024 12:00:00 AM,41.82,02/01/2025 12:00:00 AM
2019-2020,09/01/2019 12:00:00 AM,09/07/2019 12:00:00 AM,2019-09-01 - 2019-09-07,09/07/2019 12:00:00 AM,6,09/07/2024 12:00:00 AM,51.8,02/01/2025 12:00:00 AM
2019-2020,09/08/2019 12:00:00 AM,09/14/2019 12:00:00 AM,2019-09-08 - 2019-09-14,09/14/2019 12:00:00 AM,7,09/14/2024 12:00:00 AM,63.13,02/01/2025 12:00:00 AM
2019-2020,09/15/2019 12:00:00 AM,09/21/2019 12:00:00 AM,2019-09-15 - 2019-09-21,09/21/2019 12:00:00 AM,8,09/21/2024 12:00:00 AM,76.18,02/01/2025 12:00:00 AM
2019-2020,09/22/2019 12:00:00 AM,09/28/2019 12:00:00 AM,2019-09-22 - 2019-09-28,09/28/2019 12:00:00 AM,9,09/28/2024 12:00:00 AM,94.31,02/01/2025 12:00:00 AM
2019-2020,09/29/2019 12:00:00 AM,10/05/2019 12:00:00 AM,2019-09-29 - 2019-10-05,10/05/2019 12:00:00 AM,10,10/05/2024 12:00:00 AM,109.68,02/01/2025 12:00:00 AM
2019-2020,10/06/2019 12:00:00 AM,10/12/2019 12:00:00 AM,2019-10-06 - 2019-10-12,10/12/2019 12:00:00 AM,11,10/12/2024 12:00:00 AM,122.75,02/01/2025 12:00:00 AM
2019-2020,10/13/2019 12:00:00 AM,10/19/2019 12:00:00 AM,2019-10-13 - 2019-10-19,10/19/2019 12:00:00 AM,12,10/19/2024 12:00:00 AM,134.81,02/01/2025 12:00:00 AM
2019-2020,10/20/2019 12:00:00 AM,10/26/2019 12:00:00 AM,2019-10-20 - 2019-10-26,10/26/2019 12:00:00 AM,13,10/26/2024 12:00:00 AM,144.4,02/01/2025 12:00:00 AM
2019-2020,10/27/2019 12:00:00 AM,11/02/2019 12:00:00 AM,2019-10-27 - 2019-11-02,11/02/2019 12:00:00 AM,14,11/02/2024 12:00:00 AM,151.9,02/01/2025 12:00:00 AM
2019-2020,11/03/2019 12:00:00 AM,11/09/2019 12:00:00 AM,2019-11-03 - 2019-11-09,11/09/2019 12:00:00 AM,15,11/09/2024 12:00:00 AM,159.55,02/01/2025 12:00:00 AM
2019-2020,11/10/2019 12:00:00 AM,11/16/2019 12:00:00 AM,2019-11-10 - 2019-11-16,11/16/2019 12:00:00 AM,16,11/16/2024 12:00:00 AM,164.88,02/01/2025 12:00:00 AM
2019-2020,11/17/2019 12:00:00 AM,11/23/2019 12:00:00 AM,2019-11-17 - 2019-11-23,11/23/2019 12:00:00 AM,17,11/23/2024 12:00:00 AM,167.71,02/01/2025 12:00:00 AM
2019-2020,11/24/2019 12:00:00 AM,11/30/2019 12:00:00 AM,2019-11-24 - 2019-11-30,11/30/2019 12:00:00 AM,18,11/30/2024 12:00:00 AM,168.52,02/01/2025 12:00:00 AM
2019-2020,12/01/2019 12:00:00 AM,12/07/2019 12:00:00 AM,2019-12-01 - 2019-12-07,12/07/2019 12:00:00 AM,19,12/07/2024 12:00:00 AM,169.98,02/01/2025 12:00:00 AM
2019-2020,12/08/2019 12:00:00 AM,12/14/2019 12:00:00 AM,2019-12-08 - 2019-12-14,12/14/2019 12:00:00 AM,20,12/14/2024 12:00:00 AM,170.96,02/01/2025 12:00:00 AM
2019-2020,12/15/2019 12:00:00 AM,12/21/2019 12:00:00 AM,2019-12-15 - 2019-12-21,12/21/2019 12:00:00 AM,21,12/21/2024 12:00:00 AM,171.72,02/01/2025 12:00:00 AM
2019-2020,12/22/2019 12:00:00 AM,12/28/2019 12:00:00 AM,2019-12-22 - 2019-12-28,12/28/2019 12:00:00 AM,22,12/31/2024 12:00:00 AM,171.92,02/01/2025 12:00:00 AM
2019-2020,12/29/2019 12:00:00 AM,01/04/2020 12:00:00 AM,2019-12-29 - 2020-01-04,01/04/2020 12:00:00 AM,23,01/04/2025 12:00:00 AM,172.07,02/01/2025 12:00:00 AM
2019-2020,01/05/2020 12:00:00 AM,01/11/2020 12:00:00 AM,2020-01-05 - 2020-01-11,01/11/2020 12:00:00 AM,24,01/11/2025 12:00:00 AM,172.97,02/01/2025 12:00:00 AM
2019-2020,01/12/2020 12:00:00 AM,01/18/2020 12:00:00 AM,2020-01-12 - 2020-01-18,01/18/2020 12:00:00 AM,25,01/18/2025 12:00:00 AM,173.5,02/01/2025 12:00:00 AM
2019-2020,01/19/2020 12:00:00 AM,01/25/2020 12:00:00 AM,2020-01-19 - 2020-01-25,01/25/2020 12:00:00 AM,26,01/25/2025 12:00:00 AM,173.82,02/01/2025 12:00:00 AM
2019-2020,01/26/2020 12:00:00 AM,02/01/2020 12:00:00 AM,2020-01-26 - 2020-02-01,02/01/2020 12:00:00 AM,27,02/01/2025 12:00:00 AM,174.2,02/01/2025 12:00:00 AM
2019-2020,02/02/2020 12:00:00 AM,02/08/2020 12:00:00 AM,2020-02-02 - 2020-02-08,02/08/2020 12:00:00 AM,28,02/08/2025 12:00:00 AM,174.52,02/01/2025 12:00:00 AM
2019-2020,02/09/2020 12:00:00 AM,02/15/2020 12:00:00 AM,2020-02-09 - 2020-02-15,02/15/2020 12:00:00 AM,29,02/15/2025 12:00:00 AM,174.77,02/01/2025 12:00:00 AM
2019-2020,02/16/2020 12:00:00 AM,02/22/2020 12:00:00 AM,2020-02-16 - 2020-02-22,02/22/2020 12:00:00 AM,30,02/22/2025 12:00:00 AM,174.95,02/01/2025 12:00:00 AM
2019-2020,02/23/2020 12:00:00 AM,02/29/2020 12:00:00 AM,2020-02-23 - 2020-02-29,02/29/2020 12:00:00 AM,31,03/01/2025 12:00:00 AM,175.13,02/01/2025 12:00:00 AM
2019-2020,03/01/2020 12:00:00 AM,03/07/2020 12:00:00 AM,2020-03-01 - 2020-03-07,03/07/2020 12:00:00 AM,32,03/08/2025 12:00:00 AM,175.15,02/01/2025 12:00:00 AM
2020-2021,07/26/2020 12:00:00 AM,08/01/2020 12:00:00 AM,2020-07-26 - 2020-08-01,08/01/2020 12:00:00 AM,1,07/27/2024 12:00:00 AM,0.5,02/01/2025 12:00:00 AM
2020-2021,08/02/2020 12:00:00 AM,08/08/2020 12:00:00 AM,2020-08-02 - 2020-08-08,08/08/2020 12:00:00 AM,2,08/03/2024 12:00:00 AM,5.2,02/01/2025 12:00:00 AM
2020-2021,08/09/2020 12:00:00 AM,08/15/2020 12:00:00 AM,2020-08-09 - 2020-08-15,08/15/2020 12:00:00 AM,3,08/10/2024 12:00:00 AM,12.74,02/01/2025 12:00:00 AM
2020-2021,08/16/2020 12:00:00 AM,08/22/2020 12:00:00 AM,2020-08-16 - 2020-08-22,08/22/2020 12:00:00 AM,4,08/17/2024 12:00:00 AM,24.92,02/01/2025 12:00:00 AM
2020-2021,08/23/2020 12:00:00 AM,08/29/2020 12:00:00 AM,2020-08-23 - 2020-08-29,08/29/2020 12:00:00 AM,5,08/24/2024 12:00:00 AM,39.86,02/01/2025 12:00:00 AM
2020-2021,08/30/2020 12:00:00 AM,09/05/2020 12:00:00 AM,2020-08-30 - 2020-09-05,09/05/2020 12:00:00 AM,6,08/31/2024 12:00:00 AM,57.94,02/01/2025 12:00:00 AM
2020-2021,09/06/2020 12:00:00 AM,09/12/2020 12:00:00 AM,2020-09-06 - 2020-09-12,09/12/2020 12:00:00 AM,7,09/07/2024 12:00:00 AM,72.01,02/01/2025 12:00:00 AM
2020-2021,09/13/2020 12:00:00 AM,09/19/2020 12:00:00 AM,2020-09-13 - 2020-09-19,09/19/2020 12:00:00 AM,8,09/14/2024 12:00:00 AM,88.48,02/01/2025 12:00:00 AM
2020-2021,09/20/2020 12:00:00 AM,09/26/2020 12:00:00 AM,2020-09-20 - 2020-09-26,09/26/2020 12:00:00 AM,9,09/21/2024 12:00:00 AM,106.57,02/01/2025 12:00:00 AM
2020-2021,09/27/2020 12:00:00 AM,10/03/2020 12:00:00 AM,2020-09-27 - 2020-10-03,10/03/2020 12:00:00 AM,10,09/28/2024 12:00:00 AM,125.33,02/01/2025 12:00:00 AM
2020-2021,10/04/2020 12:00:00 AM,10/10/2020 12:00:00 AM,2020-10-04 - 2020-10-10,10/10/2020 12:00:00 AM,11,10/05/2024 12:00:00 AM,140.62,02/01/2025 12:00:00 AM
2020-2021,10/11/2020 12:00:00 AM,10/17/2020 12:00:00 AM,2020-10-11 - 2020-10-17,10/17/2020 12:00:00 AM,12,10/12/2024 12:00:00 AM,155.75,02/01/2025 12:00:00 AM
2020-2021,10/18/2020 12:00:00 AM,10/24/2020 12:00:00 AM,2020-10-18 - 2020-10-24,10/24/2020 12:00:00 AM,13,10/19/2024 12:00:00 AM,165.46,02/01/2025 12:00:00 AM
2020-2021,10/25/2020 12:00:00 AM,10/31/2020 12:00:00 AM,2020-10-25 - 2020-10-31,10/31/2020 12:00:00 AM,14,10/26/2024 12:00:00 AM,173.23,02/01/2025 12:00:00 AM
2020-2021,11/01/2020 12:00:00 AM,11/07/2020 12:00:00 AM,2020-11-01 - 2020-11-07,11/07/2020 12:00:00 AM,15,11/02/2024 12:00:00 AM,180.55,02/01/2025 12:00:00 AM
2020-2021,11/08/2020 12:00:00 AM,11/14/2020 12:00:00 AM,2020-11-08 - 2020-11-14,11/14/2020 12:00:00 AM,16,11/09/2024 12:00:00 AM,183.59,02/01/2025 12:00:00 AM
2020-2021,11/15/2020 12:00:00 AM,11/21/2020 12:00:00 AM,2020-11-15 - 2020-11-21,11/21/2020 12:00:00 AM,17,11/16/2024 12:00:00 AM,187.33,02/01/2025 12:00:00 AM
2020-2021,11/22/2020 12:00:00 AM,11/28/2020 12:00:00 AM,2020-11-22 - 2020-11-28,11/28/2020 12:00:00 AM,18,11/23/2024 12:00:00 AM,188.44,02/01/2025 12:00:00 AM
2020-2021,11/29/2020 12:00:00 AM,12/05/2020 12:00:00 AM,2020-11-29 - 2020-12-05,12/05/2020 12:00:00 AM,19,11/30/2024 12:00:00 AM,189.84,02/01/2025 12:00:00 AM
2020-2021,12/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,2020-12-06 - 2020-12-12,12/12/2020 12:00:00 AM,20,12/07/2024 12:00:00 AM,190.76,02/01/2025 12:00:00 AM
2020-2021,12/13/2020 12:00:00 AM,12/19/2020 12:00:00 AM,2020-12-13 - 2020-12-19,12/19/2020 12:00:00 AM,21,12/14/2024 12:00:00 AM,192.59,02/01/2025 12:00:00 AM
2020-2021,12/20/2020 12:00:00 AM,12/26/2020 12:00:00 AM,2020-12-20 - 2020-12-26,12/26/2020 12:00:00 AM,22,12/21/2024 12:00:00 AM,192.72,02/01/2025 12:00:00 AM
2020-2021,12/27/2020 12:00:00 AM,01/02/2021 12:00:00 AM,2020-12-27 - 2021-01-02,01/02/2021 12:00:00 AM,23,12/31/2024 12:00:00 AM,192.91,02/01/2025 12:00:00 AM
2020-2021,01/03/2021 12:00:00 AM,01/09/2021 12:00:00 AM,2021-01-03 - 2021-01-09,01/09/2021 12:00:00 AM,24,01/04/2025 12:00:00 AM,193.37,02/01/2025 12:00:00 AM
2020-2021,01/10/2021 12:00:00 AM,01/16/2021 12:00:00 AM,2021-01-10 - 2021-01-16,01/16/2021 12:00:00 AM,25,01/11/2025 12:00:00 AM,193.57,02/01/2025 12:00:00 AM
2020-2021,01/17/2021 12:00:00 AM,01/23/2021 12:00:00 AM,2021-01-17 - 2021-01-23,01/23/2021 12:00:00 AM,26,01/18/2025 12:00:00 AM,193.73,02/01/2025 12:00:00 AM
2020-2021,01/24/2021 12:00:00 AM,01/30/2021 12:00:00 AM,2021-01-24 - 2021-01-30,01/30/2021 12:00:00 AM,27,01/25/2025 12:00:00 AM,193.86,02/01/2025 12:00:00 AM
2020-2021,01/31/2021 12:00:00 AM,02/06/2021 12:00:00 AM,2021-01-31 - 2021-02-06,02/06/2021 12:00:00 AM,28,02/01/2025 12:00:00 AM,193.98,02/01/2025 12:00:00 AM
2020-2021,02/07/2021 12:00:00 AM,02/13/2021 12:00:00 AM,2021-02-07 - 2021-02-13,02/13/2021 12:00:00 AM,29,02/08/2025 12:00:00 AM,194.07,02/01/2025 12:00:00 AM
2020-2021,02/14/2021 12:00:00 AM,02/20/2021 12:00:00 AM,2021-02-14 - 2021-02-20,02/20/2021 12:00:00 AM,30,02/15/2025 12:00:00 AM,194.08,02/01/2025 12:00:00 AM
2020-2021,02/21/2021 12:00:00 AM,02/27/2021 12:00:00 AM,2021-02-21 - 2021-02-27,02/27/2021 12:00:00 AM,31,02/22/2025 12:00:00 AM,194.2,02/01/2025 12:00:00 AM
2020-2021,02/28/2021 12:00:00 AM,03/06/2021 12:00:00 AM,2021-02-28 - 2021-03-06,03/06/2021 12:00:00 AM,32,03/01/2025 12:00:00 AM,194.39,02/01/2025 12:00:00 AM
2021-2022,07/25/2021 12:00:00 AM,07/31/2021 12:00:00 AM,2021-07-25 - 2021-07-31,07/31/2021 12:00:00 AM,1,07/27/2024 12:00:00 AM,0.99,02/01/2025 12:00:00 AM
2021-2022,08/01/2021 12:00:00 AM,08/07/2021 12:00:00 AM,2021-08-01 - 2021-08-07,08/07/2021 12:00:00 AM,2,08/03/2024 12:00:00 AM,6.2,02/01/2025 12:00:00 AM
2021-2022,08/08/2021 12:00:00 AM,08/14/2021 12:00:00 AM,2021-08-08 - 2021-08-14,08/14/2021 12:00:00 AM,3,08/10/2024 12:00:00 AM,12.72,02/01/2025 12:00:00 AM
2021-2022,08/15/2021 12:00:00 AM,08/21/2021 12:00:00 AM,2021-08-15 - 2021-08-21,08/21/2021 12:00:00 AM,4,08/17/2024 12:00:00 AM,25.27,02/01/2025 12:00:00 AM
2021-2022,08/22/2021 12:00:00 AM,08/28/2021 12:00:00 AM,2021-08-22 - 2021-08-28,08/28/2021 12:00:00 AM,5,08/24/2024 12:00:00 AM,40.71,02/01/2025 12:00:00 AM
2021-2022,08/29/2021 12:00:00 AM,09/04/2021 12:00:00 AM,2021-08-29 - 2021-09-04,09/04/2021 12:00:00 AM,6,08/31/2024 12:00:00 AM,53.86,02/01/2025 12:00:00 AM
2021-2022,09/05/2021 12:00:00 AM,09/11/2021 12:00:00 AM,2021-09-05 - 2021-09-11,09/11/2021 12:00:00 AM,7,09/07/2024 12:00:00 AM,67.54,02/01/2025 12:00:00 AM
2021-2022,09/12/2021 12:00:00 AM,09/18/2021 12:00:00 AM,2021-09-12 - 2021-09-18,09/18/2021 12:00:00 AM,8,09/14/2024 12:00:00 AM,86.09,02/01/2025 12:00:00 AM
2021-2022,09/19/2021 12:00:00 AM,09/25/2021 12:00:00 AM,2021-09-19 - 2021-09-25,09/25/2021 12:00:00 AM,9,09/21/2024 12:00:00 AM,102.01,02/01/2025 12:00:00 AM
2021-2022,09/26/2021 12:00:00 AM,10/02/2021 12:00:00 AM,2021-09-26 - 2021-10-02,10/02/2021 12:00:00 AM,10,09/28/2024 12:00:00 AM,115.29,02/01/2025 12:00:00 AM
2021-2022,10/03/2021 12:00:00 AM,10/09/2021 12:00:00 AM,2021-10-03 - 2021-10-09,10/09/2021 12:00:00 AM,11,10/05/2024 12:00:00 AM,129.16,02/01/2025 12:00:00 AM
2021-2022,10/10/2021 12:00:00 AM,10/16/2021 12:00:00 AM,2021-10-10 - 2021-10-16,10/16/2021 12:00:00 AM,12,10/12/2024 12:00:00 AM,140.33,02/01/2025 12:00:00 AM
2021-2022,10/17/2021 12:00:00 AM,10/23/2021 12:00:00 AM,2021-10-17 - 2021-10-23,10/23/2021 12:00:00 AM,13,10/19/2024 12:00:00 AM,150.65,02/01/2025 12:00:00 AM
2021-2022,10/24/2021 12:00:00 AM,10/30/2021 12:00:00 AM,2021-10-24 - 2021-10-30,10/30/2021 12:00:00 AM,14,10/26/2024 12:00:00 AM,159.25,02/01/2025 12:00:00 AM
